Number of iterations: 31 


FileName,Objective,Slime_mould,Grey_wolf,Dragon_fly,QuantumEigensolver,

t1_d1_n10_r10.dat,25,25.0,23.0,24.225806451612904,25.0,

t1_d1_n10_r20.dat,38,38.0,38.0,37.54838709677419,38.0,

t1_d1_n10_r30.dat,77,77.0,77.0,76.74193548387096,77.0,

t1_d1_n10_r40.dat,81,81.0,81.0,79.19354838709677,81.0,

t1_d1_n10_r50.dat,106,106.0,106.0,103.7741935483871,106.0,

t1_d1_n5_r10.dat,19,19.0,17.0,19.0,19.0,

t1_d1_n5_r20.dat,19,19.0,19.0,19.0,19.0,

t1_d1_n5_r30.dat,76,76.0,76.0,76.0,76.0,

t1_d1_n5_r40.dat,59,59.0,59.0,59.0,59.0,

t1_d1_n5_r50.dat,81,81.0,81.0,81.0,81.0,

t1_d1_n6_r10.dat,23,23.0,23.0,23.0,23.0,

t1_d1_n6_r20.dat,23,23.0,23.0,23.0,23.0,

t1_d1_n6_r30.dat,76,76.0,76.0,75.48387096774194,76.0,

t1_d1_n6_r40.dat,59,59.0,59.0,59.0,59.0,

t1_d1_n6_r50.dat,81,81.0,81.0,81.0,81.0,

t1_d1_n7_r10.dat,23,23.0,23.0,22.93548387096774,23.0,

t1_d1_n7_r20.dat,23,23.0,23.0,23.0,23.0,

t1_d1_n7_r30.dat,76,76.0,76.0,73.87096774193549,76.0,

t1_d1_n7_r40.dat,59,59.0,59.0,58.483870967741936,59.0,

t1_d1_n7_r50.dat,106,106.0,106.0,105.51612903225806,106.0,

t1_d1_n8_r10.dat,23,23.0,23.0,22.741935483870968,23.0,

t1_d1_n8_r20.dat,23,23.0,23.0,23.0,23.0,

t1_d1_n8_r30.dat,77,77.0,77.0,76.83870967741936,77.0,

t1_d1_n8_r40.dat,61,61.0,61.0,60.935483870967744,61.0,

t1_d1_n8_r50.dat,106,106.0,106.0,104.54838709677419,106.0,

t1_d1_n9_r10.dat,25,25.0,23.0,24.387096774193548,25.0,

t1_d1_n9_r20.dat,38,38.0,38.0,37.54838709677419,38.0,

t1_d1_n9_r30.dat,77,77.0,77.0,76.3225806451613,77.0,

t1_d1_n9_r40.dat,61,61.0,61.0,60.774193548387096,61.0,

t1_d1_n9_r50.dat,106,106.0,106.0,105.19354838709677,106.0,

t2_d1_n10_r10.dat,12,12.0,11.0,12.0,12.0,

t2_d1_n10_r20.dat,25,25.0,25.0,24.70967741935484,25.0,

t2_d1_n10_r30.dat,33,33.0,
