Number of iterations: 31 


### ### DATASET_INFO ### ### ### ### ### Algorithm__SlimeMould ### ### ### ### ### ### Algorithm__GreyWolf ### ### ### ### ### ### Algorithm__Dragonfly ### ### ### ### ### ### Algorithm__IbmQuantumEigensolver ### ### ###
FileName nItems Capacity Objective Solution ### success_rate(%) fitness_avg standard_deviation best_fitness worst_fitness time_avg ### success_rate(%) fitness_avg standard_deviation best_fitness worst_fitness time_avg ### success_rate(%) fitness_avg standard_deviation best_fitness worst_fitness time_avg ### success_rate(%) fitness_avg standard_deviation best_fitness worst_fitness time_avg ###

t1_d2_n10_r10.dat 10 10 30 [1,0,0,0,1,0,1,0,0,1] ### 100.0 30.0 0.0 30.0 30.0 0.83 ### 100.0 30.0 0.0 30 30 308.71 ### 74.19 29.35 1.18 30 26 546.52 ### 100.0 30.0 0.0 30 30 80.33 ### 

t1_d2_n10_r20.dat 10 16 72 [1,0,1,0,0,0,1,0,1,1] ### 100.0 72.0 0.0 72.0 72.0 0.72 ### 0.0 62.0 0.0 62 62 299.88 ### 74.19 69.06 5.2 72 53 549.08 ### 100.0 72.0 0.0 72 72 176.88 ### 

t1_d2_n10_r30.dat 10 30 66 [1,1,0,0,0,0,1,0,0,0] ### 100.0 66.0 0.0 66.0 66.0 0.75 ### 100.0 66.0 0.0 66 66 307.71 ### 90.32 65.52 1.72 66 57 548.92 ### 100.0 66.0 0.0 66 66 177.3 ### 

t1_d2_n10_r40.dat 10 34 138 [1,1,1,0,0,0,1,1,0,0] ### 100.0 138.0 0.0 138.0 138.0 0.81 ### 100.0 138.0 0.0 138 138 317.28 ### 74.19 136.32 3.4 138 125 551.42 ### 100.0 138.0 0.0 138 138 395.63 ### 

t1_d2_n10_r50.dat 10 46 117 [1,0,1,0,1,0,0,0,0,1] ### 100.0 117.0 0.0 117.0 117.0 1.0 ### 100.0 117.0 0.0 117 117 300.99 ### 83.87 114.9 5.62 117 98 570.49 ### 100.0 117.0 0.0 117 117 409.53 ### 

t1_d2_n5_r10.dat  5  10  23  [1,1,0,0,1] ### 100.0 23.0 0.0 23.0 23.0 0.4 ### 0.0 16.0 0.0 16 16 187.23 ### 96.77 22.77 1.24 23 16 506.77 ### 100.0 23.0 0.0 23 23 5.38 ###

t1_d2_n5_r20.dat  5  16  36  [1,0,1,0,0] ### 100.0 36.0 0.0 36.0 36.0 0.39 ### 100.0 36.0 0.0 36 36 187.74 ### 100.0 36.0 0.0 36 36 510.18 ### 100.0 36.0 0.0 36 36 7.63 ###

t1_d2_n5_r30.dat  5  30  63  [1,1,1,0,0] ### 100.0 63.0 0.0 63.0 63.0 0.4 ### 100.0 63.0 0.0 63 63 196.42 ### 100.0 63.0 0.0 63 63 520.11 ### 100.0 63.0 0.0 63 63 7.58 ###

t1_d2_n5_r40.dat  5  16  76  [1,0,1,0,0] ### 100.0 76.0 0.0 76.0 76.0 0.43 ### 100.0 76.0 0.0 76 76 188.77 ### 100.0 76.0 0.0 76 76 519.25 ### 100.0 76.0 0.0 76 76 7.38 ###

t1_d2_n5_r50.dat  5  46  113  [1,0,1,0,1] ### 100.0 113.0 0.0 113.0 113.0 0.37 ### 100.0 113.0 0.0 113 113 194.26 ### 100.0 113.0 0.0 113 113 515.09 ### 100.0 113.0 0.0 113 113 11.65 ###

t1_d2_n6_r10.dat  6  10  23  [1,1,0,0,1,0] ### 100.0 23.0 0.0 23.0 23.0 0.45 ### 0.0 18.0 0.0 18 18 222.73 ### 93.55 22.68 1.23 23 18 522.54 ### 100.0 23.0 0.0 23 23 7.84 ###

t1_d2_n6_r20.dat  6  16  36  [1,0,1,0,0,0] ### 100.0 36.0 0.0 36.0 36.0 0.47 ### 100.0 36.0 0.0 36 36 214.02 ### 100.0 36.0 0.0 36 36 523.31 ### 100.0 36.0 0.0 36 36 12.08 ###

t1_d2_n6_r30.dat  6  30  63  [1,1,1,0,0,0] ### 100.0 63.0 0.0 63.0 63.0 0.45 ### 100.0 63.0 0.0 63 63 217.75 ### 100.0 63.0 0.0 63 63 519.56 ### 100.0 63.0 0.0 63 63 12.25 ###

t1_d2_n6_r40.dat  6  34  125  [1,1,1,1,0,0] ### 100.0 125.0 0.0 125.0 125.0 0.53 ### 100.0 125.0 0.0 125 125 228.8 ### 100.0 125.0 0.0 125 125 531.0 ### 100.0 125.0 0.0 125 125 20.94 ###

t1_d2_n6_r50.dat  6  46  113  [1,0,1,0,1,0] ### 100.0 113.0 0.0 113.0 113.0 0.51 ### 100.0 113.0 0.0 113 113 219.47 ### 100.0 113.0 0.0 113 113 523.65 ### 100.0 113.0 0.0 113 113 20.21 ###

t1_d2_n7_r10.dat  7  10  28  [1,0,0,0,1,1,1] ### 100.0 28.0 0.0 28.0 28.0 0.56 ### 0.0 26.0 0.0 26 26 245.46 ### 96.77 27.94 0.35 28 26 521.3 ### 100.0 28.0 0.0 28 28 11.61 ###

t1_d2_n7_r20.dat  7  16  46  [1,0,1,0,0,0,1] ### 100.0 46.0 0.0 46.0 46.0 0.53 ### 100.0 46.0 0.0 46 46 243.66 ### 100.0 46.0 0.0 46 46 544.19 ### 100.0 46.0 0.0 46 46 20.83 ###

t1_d2_n7_r30.dat  7  30  66  [1,1,0,0,0,0,1] ### 100.0 66.0 0.0 66.0 66.0 0.53 ### 100.0 66.0 0.0 66 66 255.61 ### 96.77 65.71 1.59 66 57 546.94 ### 100.0 66.0 0.0 66 66 20.85 ###

t1_d2_n7_r40.dat  7  34  135  [1,0,1,1,1,0,1] ### 100.0 135.0 0.0 135.0 135.0 0.59 ### 100.0 135.0 0.0 135 135 266.16 ### 90.32 134.03 2.96 135 125 550.06 ### 100.0 135.0 0.0 135 135 40.26 ###

