Number of iterations: 31 

FileName,Objective,Slime_mould,Grey_wolf,Dragon_fly,QuantumEigensolver,QuantumQAOA
t2_d3_n10_r10.dat,11,11.0,10.0,11.0,11.0,
t2_d3_n10_r20.dat,25,25.0,22.0,24.677419354838708,25.0,
t2_d3_n10_r30.dat,27,27.0,23.0,26.870967741935484,27.0,
t2_d3_n10_r40.dat,44,44.0,44.0,43.193548387096776,44.0,
t2_d3_n10_r50.dat,46,46.0,43.0,45.70967741935484,46.0,
t2_d3_n5_r10.dat,8,8.0,8.0,8.0,8.0,
t2_d3_n5_r20.dat,19,19.0,19.0,19.0,19.0,
t2_d3_n5_r30.dat,13,13.0,13.0,13.0,13.0,
t2_d3_n5_r40.dat,35,35.0,35.0,34.96774193548387,35.0,
t2_d3_n5_r50.dat,36,36.0,32.0,36.0,36.0,
t2_d3_n6_r10.dat,9,9.0,8.0,9.0,9.0,
t2_d3_n6_r20.dat,19,19.0,19.0,19.0,19.0,
t2_d3_n6_r30.dat,23,23.0,18.0,23.0,23.0,
t2_d3_n6_r40.dat,35,35.0,35.0,35.0,35.0,
t2_d3_n6_r50.dat,40,40.0,40.0,40.0,40.0,
t2_d3_n7_r10.dat,10,10.0,10.0,10.0,10.0,
t2_d3_n7_r20.dat,22,22.0,22.0,22.0,22.0,
t2_d3_n7_r30.dat,23,23.0,19.0,23.0,23.0,
t2_d3_n7_r40.dat,40,40.0,40.0,40.0,40.0,
t2_d3_n7_r50.dat,42,42.0,40.0,41.70967741935484,42.0,
t2_d3_n8_r10.dat,11,11.0,10.0,10.96774193548387,11.0,
t2_d3_n8_r20.dat,22,22.0,22.0,22.0,22.0,
t2_d3_n8_r30.dat,23,23.0,19.0,23.0,23.0,
t2_d3_n8_r40.dat,41,41.0,41.0,40.903225806451616,41.0,
t2_d3_n8_r50.dat,42,42.0,41.0,41.806451612903224,42.0,
t2_d3_n9_r10.dat,11,11.0,10.0,10.96774193548387,11.0,
t2_d3_n9_r20.dat,25,25.0,22.0,
