FileName,Slime_mould,Grey_wolf,Dragon_fly,QuantumEigensolver
t3_d1_n10_r10.dat,51.0,50.0,50.935483870967744,51.0,
t3_d1_n10_r20.dat,60.0,60.0,59.225806451612904,60.0,
t3_d1_n10_r30.dat,71.0,69.0,70.83870967741936,71.0,
t3_d1_n10_r40.dat,81.0,80.0,80.16129032258064,81.0,
t3_d1_n10_r50.dat,89.0,89.0,85.64516129032258,89.0,
t3_d1_n6_r10.dat,51.0,50.0,50.96774193548387,51.0,
t3_d1_n6_r20.dat,60.0,60.0,59.87096774193548,60.0,
t3_d1_n6_r30.dat,60.0,60.0,60.0,60.0,
t3_d1_n6_r40.dat,69.0,69.0,69.0,69.0,
t3_d1_n6_r50.dat,69.0,69.0,68.90322580645162,69.0,
t3_d1_n7_r10.dat,51.0,50.0,50.96774193548387,51.0,
t3_d1_n7_r20.dat,60.0,60.0,59.483870967741936,60.0,
t3_d1_n7_r30.dat,71.0,60.0,70.64516129032258,71.0,
t3_d1_n7_r40.dat,79.0,79.0,78.03225806451613,79.0,
t3_d1_n7_r50.dat,74.0,74.0,73.96774193548387,74.0,
t3_d1_n8_r10.dat,51.0,50.0,50.935483870967744,51.0,
t3_d1_n8_r20.dat,60.0,60.0,60.0,60.0,
t3_d1_n8_r30.dat,71.0,60.0,70.64516129032258,71.0,
t3_d1_n8_r40.dat,81.0,80.0,80.70967741935483,81.0,
t3_d1_n8_r50.dat,89.0,89.0,86.03225806451613,89.0,
t3_d1_n9_r10.dat,51.0,50.0,50.935483870967744,51.0,
t3_d1_n9_r20.dat,60.0,60.0,59.54838709677419,60.0,
t3_d1_n9_r30.dat,71.0,69.0,70.93548387096774,71.0,
t3_d1_n9_r40.dat,81.0,80.0,80.83870967741936,81.0,
t3_d1_n9_r50.dat,89.0,89.0,86.51612903225806,89.0,
