Number of iterations: 31 


### ### DATASET_INFO ### ### ### ### ### Algorithm__SlimeMould ### ### ### ### ### ### Algorithm__GreyWolf ### ### ### ### ### ### Algorithm__Dragonfly ### ### ### ### ### ### Algorithm__IbmQuantumEigensolver ### ### ###
FileName nItems Capacity Objective Solution ### success_rate(%) fitness_avg standard_deviation best_fitness worst_fitness time_avg ### success_rate(%) fitness_avg standard_deviation best_fitness worst_fitness time_avg ### success_rate(%) fitness_avg standard_deviation best_fitness worst_fitness time_avg ### success_rate(%) fitness_avg standard_deviation best_fitness worst_fitness time_avg ### 

t3_d3_n10_r10.dat 10 9 13 [1,0,1,1,1,0,0,0,0,0] ### 100.0 13.0 0.0 13.0 13.0 0.69 ### 0.0 11.0 0.0 11 11 305.77 ### 74.19 12.74 0.44 13 12 537.51 ### 100.0 13.0 0.0 13 13 122.9 ### 

t3_d3_n10_r20.dat 10 18 26 [0,0,0,1,1,1,0,1,0,0] ### 100.0 26.0 0.0 26.0 26.0 1.21 ### 0.0 24.0 0.0 24 24 433.56 ### 64.52 25.29 0.96 26 24 779.25 ### 100.0 26.0 0.0 26 26 262.38 ### 

t3_d3_n10_r30.dat 10 29 41 [0,0,1,0,0,1,1,0,1,0] ### 100.0 41.0 0.0 41.0 41.0 1.42 ### 0.0 40.0 0.0 40 40 444.98 ### 80.65 40.81 0.4 41 40 731.99 ### 100.0 41.0 0.0 41 41 172.73 ### 

t3_d3_n10_r40.dat 10 34 50 [0,1,0,1,0,0,0,1,1,0] ### 100.0 50.0 0.0 50.0 50.0 0.85 ### 0.0 46.0 0.0 46 46 285.0 ### 67.74 48.61 2.03 50 45 519.74 ### 100.0 50.0 0.0 50 50 391.3 ### 

t3_d3_n10_r50.dat 10 47 62 [1,0,0,0,0,0,0,1,0,1] ### 100.0 62.0 0.0 62.0 62.0 0.78 ### 100.0 62.0 0.0 62 62 292.7 ### 96.77 61.97 0.18 62 61 526.63 ### 100.0 62.0 0.0 62 62 393.36 ### 

t3_d3_n6_r10.dat 6 7 10 [0,0,1,0,1,1] ### 100.0 10.0 0.0 10.0 10.0 0.65 ### 0.0 9.0 0.0 9 9 213.42 ### 100.0 10.0 0.0 10 10 517.64 ### 100.0 10.0 0.0 10 10 5.38 ### 

t3_d3_n6_r20.dat 6 14 19 [0,1,0,0,1,1] ### 100.0 19.0 0.0 19.0 19.0 0.58 ### 100.0 19.0 0.0 19 19 215.64 ### 90.32 18.9 0.3 19 18 519.46 ### 100.0 19.0 0.0 19 19 7.7 ### 

t3_d3_n6_r30.dat 6 23 32 [0,1,1,0,0,1] ### 100.0 32.0 0.0 32.0 32.0 0.43 ### 0.0 28.0 0.0 28 28 215.99 ### 100.0 32.0 0.0 32 32 521.26 ### 100.0 32.0 0.0 32 32 11.54 ### 

t3_d3_n6_r40.dat 6 34 43 [0,1,0,1,1,0] ### 100.0 43.0 0.0 43.0 43.0 0.54 ### 100.0 43.0 0.0 43 43 215.53 ### 96.77 42.9 0.53 43 40 518.57 ### 100.0 43.0 0.0 43 43 20.7 ### 

t3_d3_n6_r50.dat 6 47 56 [0,0,1,0,0,1] ### 100.0 56.0 0.0 56.0 56.0 0.83 ### 100.0 56.0 0.0 56 56 215.25 ### 100.0 56.0 0.0 56 56 520.16 ### 100.0 56.0 0.0 56 56 20.04 ### 

t3_d3_n7_r10.dat 7 8 11 [1,0,1,1,0,0,0] ### 100.0 11.0 0.0 11.0 11.0 0.61 ### 0.0 10.0 0.0 10 10 238.18 ### 96.77 10.97 0.18 11 10 524.06 ### 100.0 11.0 0.0 11 11 11.61 ### 

t3_d3_n7_r20.dat 7 18 24 [1,0,0,1,1,0,0] ### 100.0 24.0 0.0 24.0 24.0 0.49 ### 100.0 24.0 0.0 24 24 242.49 ### 100.0 24.0 0.0 24 24 527.99 ### 100.0 24.0 0.0 24 24 20.2 ### 

t3_d3_n7_r30.dat 7 23 32 [0,1,1,0,0,1,0] ### 100.0 32.0 0.0 32.0 32.0 0.59 ### 0.0 29.0 0.0 29 29 237.64 ### 100.0 32.0 0.0 32 32 514.71 ### 100.0 32.0 0.0 32 32 19.06 ### 

t3_d3_n7_r40.dat 7 34 44 [0,0,1,1,0,0,1] ### 100.0 44.0 0.0 44.0 44.0 0.6 ### 100.0 44.0 0.0 44 44 224.22 ### 93.55 43.94 0.25 44 43 494.55 ### 100.0 44.0 0.0 44 44 36.79 ### 

t3_d3_n7_r50.dat 7 47 59 [0,0,0,0,1,1,1] ### 100.0 59.0 0.0 59.0 59.0 0.6 ### 100.0 59.0 0.0 59 59 228.7 ### 96.77 58.97 0.18 59 58 487.19 ### 100.0 59.0 0.0 59 59 37.11 ### 

t3_d3_n8_r10.dat 8 9 13 [1,0,1,1,1,0,0,0] ### 100.0 13.0 0.0 13.0 13.0 0.55 ### 0.0 11.0 0.0 11 11 244.85 ### 74.19 12.74 0.44 13 12 488.83 ### 100.0 13.0 0.0 13 13 18.62 ### 

t3_d3_n8_r20.dat 8 18 26 [0,0,0,1,1,1,0,1] ### 100.0 26.0 0.0 26.0 26.0 0.66 ### 0.0 24.0 0.0 24 24 246.06 ### 77.42 25.52 0.91 26 23 490.99 ### 100.0 26.0 0.0 26 26 35.99 ### 

t3_d3_n8_r30.dat 8 29 38 [1,1,0,0,0,0,1,0] ### 100.0 38.0 0.0 38.0 38.0 1.01 ### 0.0 36.0 0.0 36 36 247.5 ### 100.0 38.0 0.0 38 38 488.93 ### 100.0 38.0 0.0 38 38 36.41 ### 

t3_d3_n8_r40.dat 8 34 46 [0,1,1,1,0,0,0,1] ### 100.0 46.0 0.0 46.0 46.0 0.53 ### 100.0 46.0 0.0 46 46 246.09 ### 93.55 45.94 0.25 46 45 491.13 ### 100.0 46.0 0.0 46 46 74.48 ### 

t3_d3_n8_r50.dat 8 47 60 [0,0,0,0,1,1,0,1] ### 100.0 60.0 0.0 60.0 60.0 2.05 ### 100.0 60.0 0.0 60 60 248.39 ### 87.1 59.87 0.34 60 59 490.44 ### 100.0 60.0 0.0 60 60 91.03 ### 

t3_d3_n9_r10.dat 9 9 13 [1,0,1,1,1,0,0,0,0] ### 100.0 13.0 0.0 13.0 13.0 0.99 ### 0.0 11.0 0.0 11 11 348.92 ### 58.06 12.58 0.49 13 12 603.77 ### 100.0 13.0 0.0 13 13 44.28 ### 

t3_d3_n9_r20.dat 9 18 26 [0,0,0,1,1,1,0,1,0] ### 100.0 26.0 0.0 26.0 26.0 0.92 ### 0.0 24.0 0.0 24 24 311.81 ### 61.29 25.19 1.03 26 23 572.25 ### 100.0 26.0 0.0 26 26 89.49 ### 

t3_d3_n9_r30.dat 9 29 41 [0,0,1,0,0,1,1,0,1] ### 100.0 41.0 0.0 41.0 41.0 0.84 ### 0.0 40.0 0.0 40 40 317.08 ### 70.97 40.52 1.04 41 36 566.79 ### 100.0 41.0 0.0 41 41 87.7 ### 

t3_d3_n9_r40.dat 9 34 50 [0,1,0,1,0,0,0,1,1] ### 100.0 50.0 0.0 50.0 50.0 1.06 ### 0.0 46.0 0.0 46 46 313.92 ### 80.65 49.16 1.72 50 45 564.19 ### 100.0 50.0 0.0 50 50 195.14 ### 

t3_d3_n9_r50.dat 9 47 60 [0,0,0,0,1,1,0,1,0] ### 100.0 60.0 0.0 60.0 60.0 2.66 ### 100.0 60.0 0.0 60 60 300.54 ### 93.55 59.9 0.39 60 58 539.3 ### 100.0 60.0 0.0 60 60 170.88 ### 

